	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
1000	0.1426	0.0293	0.0127	0.2921	0.2176
1000	0.1471	0.0287	0.0241	0.2863	0.2039
1000	0.1463	0.0278	0.0189	0.2633	0.234
1000	0.1611	0.0199	0.0078	0.2361	0.2184
1000	0.2754	0.027	0.019	0.3326	0.2262
1000	0.1546	0.0271	0.0119	0.3275	0.2289
1000	0.2261	0.0403	0.0202	0.3009	0.1975
1000	0.151	0.0262	0.0232	0.3401	0.2166
1000	0.1481	0.0262	0.0129	0.2857	0.2219
1000	0.1451	0.0272	0.0181	0.2727	0.2078


	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
2000	0.3829	0.0611	0.0459	1.0342	0.5513
2000	0.3672	0.0683	0.0432	1.0906	0.4939
2000	0.3479	0.0613	0.0351	1.0839	0.5071
2000	0.3182	0.0578	0.0441	1.0482	0.482
2000	0.3367	0.0529	0.0366	1.0329	0.4872
2000	0.3412	0.0589	0.0455	1.0584	0.4856
2000	0.3309	0.058	0.0431	1.0678	0.4982
2000	0.3366	0.0562	0.1279	1.2118	0.4617
2000	0.3268	0.0545	0.0406	1.0907	0.4828
2000	0.3267	0.0503	0.0438	1.0575	0.4942


	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
3000	0.5714	0.0671	0.0398	4.336	1.0847
3000	0.5942	0.0687	0.0361	2.9582	1.1371
3000	0.6902	0.0809	0.0714	3.7785	1.1479
3000	0.7606	0.0813	0.0704	3.9621	0.8878
3000	0.6499	0.0672	0.0361	2.7941	0.8567
3000	0.748	0.0806	0.0681	2.5492	0.8005
3000	0.5568	0.103	0.0646	2.3076	0.8097
3000	0.5682	0.0693	0.0429	2.207	1.2204
3000	0.4973	0.0601	0.0588	2.8898	0.8699
3000	0.5197	0.0631	0.0489	2.3161	0.7757


	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
4000	0.7449	0.1216	0.0755	4.6476	1.2876
4000	0.7701	0.1536	0.0491	6.7343	1.3458
4000	0.9008	0.1644	0.0498	8.1741	1.2491
4000	0.7937	0.1306	0.0531	5.7136	-0.6735
4000	0.8937	0.1435	0.048	7.1109	1.2773
4000	0.8099	0.1243	0.0512	4.9454	1.0834
4000	0.7851	0.0994	0.0789	4.6753	1.1541
4000	0.8004	0.1283	0.0649	4.7323	1.3263
4000	0.8077	0.1318	0.0494	4.9289	1.1866
4000	0.8016	0.1321	0.0477	4.8125	2.6395


	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
5000	1.0256	0.0704	0.051	6.9828	1.5892
5000	1.0489	0.0623	0.0685	7.1391	1.4743
5000	1.3336	0.06	0.1341	8.0186	1.6659
5000	1.1839	0.0678	0.0622	39.7045	1.6116
