	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
1000	0.0642	0.0273	7.0E-4	0.5506	0.1066
1000	0.0588	0.0199	9.0E-4	0.4042	0.0943
1000	0.0591	0.021	7.0E-4	0.4044	0.0906
1000	0.055	0.0222	8.0E-4	0.4055	0.0878
1000	0.0556	0.023	4.0E-4	0.411	0.1141
1000	0.0601	0.0261	5.0E-4	0.5361	0.1468
1000	0.0513	0.0209	6.0E-4	0.6426	0.1512
1000	0.062	0.0273	5.0E-4	0.5542	0.1417
1000	0.0699	0.0246	6.0E-4	0.5568	0.1437
1000	0.0579	0.025	7.0E-4	0.5661	0.1374


	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
2000	0.1138	0.0516	0.0026	2.1118	0.344
2000	0.114	0.0519	0.0024	2.1721	0.3276
2000	0.124	0.0498	0.0025	2.1494	0.3774
2000	0.1323	0.0562	0.0023	3.036	0.3301
2000	0.1218	0.0497	0.0022	2.517	-1.8241
2000	0.115	0.0483	0.0025	2.3933	0.2859
2000	0.4596	0.0431	0.0022	2.4325	0.3642
2000	0.1336	0.0465	0.0024	2.3481	0.3561
2000	0.1347	0.054	0.0022	6.5882	0.3495
2000	0.1353	0.0609	0.0022	2.4674	0.3393


	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
3000	0.2161	0.046	0.0023	7.2139	0.4802
3000	0.1835	0.0557	0.0024	4.7394	0.4664
3000	0.2053	0.0581	0.0026	4.4331	0.5478
3000	0.2287	0.0568	0.002	5.3487	0.3623
3000	0.2052	0.0621	0.0021	5.2239	0.5487
3000	0.2265	0.054	0.0023	5.2207	0.3345
3000	0.2326	0.0632	0.0026	5.1735	0.5222
3000	0.1359	0.0393	0.0019	3.8192	0.4179
3000	0.1612	0.0393	0.002	4.5903	1.0847
3000	0.1994	0.0525	0.0033	5.2025	0.5091


	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
4000	0.3443	0.1193	0.0033	8.5183	0.7368
4000	0.2881	0.1112	0.0022	9.2713	0.4699
4000	0.1995	0.0799	0.002	8.6848	1.0387
4000	0.3277	0.1169	0.0023	9.3046	0.7424
4000	0.2598	0.1131	0.0026	9.8847	0.726
4000	0.2912	0.1147	0.0022	9.997	0.7643
4000	0.2964	0.1213	0.0024	9.3983	0.8115
4000	0.2606	0.1152	0.0024	8.782	0.6903
4000	0.2517	0.1129	0.0027	8.3365	0.758
4000	0.2541	0.0866	0.0022	6.5086	0.4693


	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
5000	0.3847	0.0582	0.0027	20.3444	0.7375
5000	0.3736	0.0547	0.0025	12.7019	0.6276
5000	0.2224	0.0409	0.0017	10.1027	0.6142
5000	0.2619	0.0541	0.0026	13.3481	0.9967
5000	0.258	0.0409	0.0021	11.6614	0.6884
5000	0.2176	0.0405	0.0018	10.4519	0.6049
5000	0.2623	0.0406	0.0019	13.7923	0.8862
5000	0.2577	0.0408	0.002	26.4607	1.0804
5000	0.3612	0.0606	0.0022	14.8096	0.6072
5000	0.2554	0.0407	0.0018	12.9713	0.6157


	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
6000	0.3127	0.0843	0.002	29.2334	1.3001
6000	0.4897	0.1179	0.0027	44.0452	2.4701
6000	0.7375	0.1402	0.0029	31.9525	1.6314
6000	0.4465	0.1268	0.0034	24.4284	1.2198
6000	0.6727	0.1554	0.0021	19.3397	1.1841
6000	0.46	0.1372	0.0023	15.8988	1.1544
6000	0.4011	0.1262	0.0021	21.779	1.1843
6000	0.4523	0.1208	0.0032	23.359	1.2314
6000	0.4311	0.1752	0.0027	21.1909	1.2302
6000	0.483	0.1185	0.0024	19.1117	1.1531


	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
7000	0.4726	0.1635	0.0031	23.8122	0.9127
7000	0.3157	0.1281	0.0017	26.1137	1.2182
7000	0.5042	0.1992	0.0026	23.2159	1.2026
7000	0.3166	0.1286	0.0017	22.7477	1.3643
7000	0.663	0.1659	0.0025	22.2875	0.9202
7000	0.344	0.1323	0.0018	21.3602	1.0213
7000	0.3438	0.1291	0.0018	24.2335	1.7512
7000	0.683	0.1739	0.0046	26.028	0.903
7000	0.3438	0.1285	0.0017	29.3627	1.5331
7000	0.5147	0.1697	0.0037	38.2999	1.568


