	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
1000	0.04	0.0182	8.0E-4	0.007	0.0789
1000	0.0625	0.0218	5.0E-4	0.0048	0.0741
1000	0.0425	0.0247	4.0E-4	0.0048	0.0729
1000	0.0426	0.0242	4.0E-4	0.0048	0.0753
1000	0.034	0.0163	4.0E-4	0.0049	0.0762
1000	0.0245	0.016	3.0E-4	0.0047	0.0724
1000	0.0245	0.016	3.0E-4	0.0047	0.0717
1000	0.0244	0.016	3.0E-4	0.0048	0.0715
1000	0.0245	0.016	4.0E-4	0.0047	0.0717
1000	0.0245	0.0159	3.0E-4	0.0047	0.0742


	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
2000	0.0895	0.0554	0.0021	0.0164	0.29
2000	0.0882	0.0557	0.0017	0.0151	0.2844
2000	0.0805	0.0501	0.0014	0.0123	0.2587
2000	0.0814	0.0502	0.0014	0.015	0.2716
2000	0.0827	0.0498	0.0013	0.0133	0.2639
2000	0.0833	0.0503	0.0012	0.0142	0.2759
2000	0.0823	0.0508	0.0013	0.0143	0.2724
2000	0.0878	0.0436	0.0014	0.014	0.2879
2000	0.072	0.0428	0.0014	0.0124	0.2578
2000	0.0774	0.0459	0.0012	0.0139	0.2625


	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
3000	0.0911	0.0382	0.0017	0.0139	0.2921
3000	0.0907	0.0373	9.0E-4	0.0138	0.4327
3000	0.1535	0.0555	0.0015	0.0215	0.3452
3000	0.0911	0.0375	0.0013	0.0139	0.2861
3000	0.0907	0.0373	0.001	0.0138	0.2853
3000	0.0908	0.0374	9.0E-4	0.0138	0.2841
3000	0.091	0.0373	0.001	0.0137	0.2848
3000	0.1492	0.0376	0.001	0.0138	0.2867
3000	0.0907	0.0374	9.0E-4	0.0138	0.2932
3000	0.0907	0.0376	9.0E-4	0.0137	0.2819


	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
4000	0.1213	0.0765	0.0018	0.0184	0.4164
4000	0.1482	0.0761	0.001	0.0183	0.4085
4000	0.1208	0.0793	9.0E-4	0.0183	0.4062
4000	0.1208	0.076	0.001	0.0183	0.4348
4000	0.1467	0.0764	0.0011	0.0183	0.4077
4000	0.1517	0.0762	0.0011	0.0183	0.4092
4000	0.1461	0.076	0.0011	0.0183	0.4144
4000	0.146	0.076	0.0011	0.0183	0.4159
4000	0.146	0.0762	0.001	0.0183	0.408
4000	0.1569	0.1185	0.0015	0.0183	0.4091


	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
5000	0.167	0.0391	0.002	0.0229	0.5491
5000	0.166	0.0387	8.0E-4	0.0228	0.6265
5000	0.166	0.0388	0.0012	0.0228	0.5397
5000	0.1658	0.0387	0.001	0.0228	0.5386
5000	0.1659	0.0387	9.0E-4	0.0228	0.5495
5000	0.1941	0.0389	0.0011	0.0229	0.5395
5000	0.1696	0.0387	9.0E-4	0.0228	0.538
5000	0.1661	0.0387	8.0E-4	0.0263	0.5354
5000	0.1659	0.0386	0.001	0.0228	0.6468
5000	0.166	0.0389	0.0011	0.0229	0.5538


	Classic_ShellSort	Hibbard_ShellSort	Knuth_ShellSort	InsertionSort	Pratt_ShellSort
6000	0.2329	0.0859	0.0027	0.0433	1.0127
6000	0.312	0.118	0.0021	0.0453	1.0606
